index,trial_url,Study (disease • registry),Disease Category,Disease Area,Method,Enrollment (target),Countries (per CMN page),In US?,Start year,Last-updated year,Gene-editing method,Gene-editing category,Phase 1,Phase 2,Phase 3,Countries (per CMN page),,China,#ERROR!
45,https://crisprmedicinenews.com/clinical-trial/relapsed-or-refractory-acute-myeloid-leukaemia-aml-nct05949125/,"Multicenter, Open-label, Phase 1 Study of Allo-RevCAR01-T-CD123 Consisting of Genetically Modified T Cells Carrying Reverse Chimeric Antigen Receptors (Allo RevCAR01 T) in Combination With CD123 Target Module (R-TM123) for the Treatment of Patients With Selected Hematologic Malignancies Positive for CD123","Relapsed or Refractory Acute Myeloid Leukaemia, AML",Haematological malignancies (blood cancers),Ex-vivo,37,Germany,No,2023,2025,CRISPR-Cas9,CRISPR-Cas,1,0,0,Germany,,,
46,https://crisprmedicinenews.com/clinical-trial/relapsed-or-refractory-acute-myeloid-leukaemia-aml-nct07026942/,A Phase I/II Clinical Trial Evaluating the Safety and Efficacy of Universal Donor CD33 CAR Natural Killer Cells for Treatment of Relapsed/Refractory Acute Myeloid Leukemia,Relapsed or Refractory Acute Myeloid Leukaemia,Haematological malignancies (blood cancers),Ex-vivo,42,United States,Yes,2025,2025,CRISPR-Cas9,CRISPR-Cas,1,1,0,United States,,,
47,https://crisprmedicinenews.com/clinical-trial/relapsed-or-refractory-acute-myeloid-leukaemia-aml-and-multiple-myeloma-mm-nct04614636/,"A Phase I, Open-Label, Multicenter Study of FT538 as Monotherapy in Relapsed/Refractory Acute Myelogenous Leukemia and in Combination With Monoclonal Antibodies in Relapsed/Refractory Multiple Myeloma","Relapsed or Refractory Acute Myeloid Leukaemia, AML, and Multiple Myeloma, MM",Haematological malignancies (blood cancers),Ex-vivo,105,United States,Yes,2020,2025,CRISPR-Cas9,CRISPR-Cas,1,0,0,United States,,,
48,https://crisprmedicinenews.com/clinical-trial/relapsed-or-refractory-acute-myeloid-leukemia-aml-nct05984199/,Phase 1/2 Study of Donor-Derived Anti-CD33 Chimeric Antigen Receptor Expressing T Cells (VCAR33) in Patients With Relapsed or Refractory Acute Myeloid Leukemia After Allogeneic Hematopoietic Cell Transplantation,Relapsed or Refractory Acute Myeloid Leukemia,Haematological malignancies (blood cancers),Ex-vivo,24,United States,Yes,2023,2025,CRISPR-Cas9,CRISPR-Cas,1,1,0,United States,,,
49,https://crisprmedicinenews.com/clinical-trial/relapsed-or-refractory-acute-myeloid-leukemia-aml-nct06128044/,"A Phase 1, Multicenter, Open-Label Study of CB-012, a CRISPR-Edited Allogeneic Anti-CLL-1 CAR-T Cell Therapy in Patients With Relapsed/Refractory Acute Myeloid Leukemia","Relapsed or Refractory Acute Myeloid Leukemia, AML",Haematological malignancies (blood cancers),Ex-vivo,70,United States,Yes,2023,2025,CRISPR-Cas12a,CRISPR-Cas,1,0,0,United States,,,
50,https://crisprmedicinenews.com/clinical-trial/relapsed-or-refractory-acute-myeloid-leukemia-aml-nct06541444/,"An Open, Single Center Exploratory Study to Evaluate Safety and Efficacy of NK520 for Patients With Relapsed/Refractory Acute Myeloid Leukemia","Relapsed or Refractory Acute Myeloid Leukemia, AML",Haematological malignancies (blood cancers),Ex-vivo,9,China,No,2024,2025,AccuBase® base editor,Base editing,1,1,0,China,,1,
51,https://crisprmedicinenews.com/clinical-trial/relapsed-or-refractory-b-cell-malignancies-nct04227015/,A Study of CTA101 UCAR-T Cell Injection in Patients With Relapsed or Refractory CD19+ B-line Hematological Malignancy,Relapsed or Refractory B cell Malignancies,Haematological malignancies (blood cancers),Ex-vivo,72,China,No,2020,2025,CRISPR-Cas9,CRISPR-Cas,1,1,0,China,,1,
52,https://crisprmedicinenews.com/clinical-trial/relapsed-or-refractory-b-cell-acute-lymphoblastic-leukaemia-b-all-nct02746952/,"Phase I, Open Label, Dose-escalation Study Followed by a Safety Expansion Part to Evaluate the Safety, Expansion and Persistence of a Single Dose of UCART19 (Allogeneic Engineered T-cells Expressing Anti-CD19 Chimeric Antigen Receptor), Administered Intravenously in Patients With Relapsed or Refractory CD19 Positive B-cell Acute Lymphoblastic Leukaemia (B-ALL)",Leukaemia,Haematological malignancies (blood cancers),Ex-vivo,25,"United States, France, Japan, United Kingdom",Yes,2016,2025,TALENs,Other,1,0,0,"United States, France, Japan, United Kingdom",,,
53,https://crisprmedicinenews.com/clinical-trial/relapsed-or-refractory-b-cell-acute-lymphoblastic-leukaemia-b-all-nct04150497/,"Open Label Dose-escalation and Dose-expansion Study to Evaluate the Safety, Expansion, Persistence and Clinical Activity of UCART22 (Allogeneic Engineered T-cells Expressing Anti-CD22 Chimeric Antigen Receptor) in Patients With Relapsed or refractory CD22+ B-cell Acute Lymphoblastic Leukemia (B-ALL)",Leukaemia,Haematological malignancies (blood cancers),Ex-vivo,40,"United States, France",Yes,2019,2025,TALENs,Other,1,0,0,"United States, France",,,
54,https://crisprmedicinenews.com/clinical-trial/relapsed-or-refractory-b-cell-acute-lymphoblastic-leukaemia-b-all-nct04154709/,CTA101 UCAR-T Cell Injection for Treatment of Relapsed or Refractory CD19+ B-cell Acute Lymphoblastic Leukemia,Leukaemia,Haematological malignancies (blood cancers),Ex-vivo,15,China,No,2019,2025,CRISPR-Cas9,CRISPR-Cas,1,1,0,China,,1,
